subject_id	one	two	tbi	B	C	B/(2A+B+C)	C/(2A+B+C)	D=(B+C)/(2A+B+C)	Change
5002	451	480	0.207920792079208	35	28	0.115511551155116	0.0924092409240924	0.207920792079208	-  
5003	451	480	0.319327731092437	69	7	0.289915966386555	0.0294117647058824	0.319327731092437	-  
5004	451	480	0.201413427561837	23	34	0.0812720848056537	0.120141342756184	0.201413427561837	+  
5005	451	480	0.236263736263736	29	57	0.0796703296703297	0.156593406593407	0.236263736263736	+  
5006	451	480	0.3125	83	27	0.235795454545455	0.0767045454545455	0.3125	-  
5001	480	499	0.239263803680982	47	31	0.144171779141104	0.0950920245398773	0.239263803680982	-  
5002	480	499	0.230769230769231	38	28	0.132867132867133	0.0979020979020979	0.230769230769231	-  
5003	480	499	0.318777292576419	10	63	0.0436681222707424	0.275109170305677	0.318777292576419	+  
5004	480	499	0.140065146579805	15	28	0.0488599348534202	0.0912052117263844	0.140065146579805	+  
5005	480	499	0.304347826086957	68	44	0.184782608695652	0.119565217391304	0.304347826086957	-  
5006	480	499	0.28169014084507	46	34	0.161971830985915	0.119718309859155	0.28169014084507	-  
5001	499	523	0.21763085399449	13	66	0.0358126721763085	0.181818181818182	0.21763085399449	+  
5002	499	523	0.348659003831418	53	38	0.203065134099617	0.145593869731801	0.348659003831418	-  
5003	499	523	0.312056737588652	44	44	0.156028368794326	0.156028368794326	0.312056737588652	0  
5004	499	523	0.207667731629393	36	29	0.115015974440895	0.0926517571884984	0.207667731629393	-  
5005	499	523	0.311764705882353	55	51	0.161764705882353	0.15	0.311764705882353	-  
5006	499	523	0.544554455445545	67	98	0.221122112211221	0.323432343234323	0.544554455445545	+  
5001	523	631	0.328502415458937	69	67	0.166666666666667	0.161835748792271	0.328502415458937	-  
5002	523	631	0.447293447293447	26	131	0.0740740740740741	0.373219373219373	0.447293447293447	+  
5003	523	631	0.315960912052117	36	61	0.117263843648208	0.198697068403909	0.315960912052117	+  
5004	523	631	0.331147540983607	51	50	0.167213114754098	0.163934426229508	0.331147540983607	-  
5005	523	631	0.309090909090909	35	84	0.0909090909090909	0.218181818181818	0.309090909090909	+  
5001	631	715	0.545918367346939	117	97	0.298469387755102	0.247448979591837	0.545918367346939	-  
5002	631	715	0.573264781491003	145	78	0.372750642673522	0.200514138817481	0.573264781491003	-  
5003	631	715	0.625766871165644	105	99	0.322085889570552	0.303680981595092	0.625766871165644	-  
5004	631	715	0.560830860534125	78	111	0.231454005934718	0.329376854599407	0.560830860534125	+  
5005	631	715	0.475138121546961	122	50	0.337016574585635	0.138121546961326	0.475138121546961	-  
